Category,Food Name,Alternative Name,Calorie (kcal),Modified Calorie (kcal),Water (g),Protein (g),Fat (g),SFA_g (g),Ash (g),Carbs (g),Fibre (g),Sugar (g),Glucose (g),Fructose (g),Galactose (g),Maltose (g),Sucrose (g),Lactose (g),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Iron (mg),Zinc (mg),Phosphorus (mg),Copper (mg),Manganese (mg),Vitamin A Total (IU),Vitamin A(RE) (ug),Retinol (ug),α-Carotene (ug),β-Carotene (ug),Vitamin D Total (IU),Vitamin D (ug),Vitamin D2 (ug),Vitamin D3 (ug),Vitamin E Total (mg),Vitamin E(α-TE) (mg),α-Tocopherol (mg),β-Tocopherol (mg),γ-Tocopherol (mg),δ-Tocopherol (mg),Vitamin K1 (ug),Vitamin K2 MK-4 (ug),Vitamin K2 MK-7 (ug),Vitamin B1 (mg),Vitamin B2 (mg),Nicotin (mg),Vitamin B6 (mg),Vitamin B12 (ug),Folic acid (ug),Vitamin C (mg),SFA (mg),Butyric acid (4:0) (mg),Caproic acid (6:0) (mg),Caprylic acid (8:0) (mg),Capric acid (10:0) (mg),Lauric acid (12:0) (mg),Tridecanoic acid (13:0) (mg),Myristic acid (14:0) (mg),Pentadecanoic acid (15:0) (mg),Palmitic acid (16:0) (mg),Heptadecanoic acid (17:0) (mg),Stearic acid (18:0) (mg),Nonadecanoic acid (19:0) (mg),Arachidic acid (20:0) (mg),Behenic acid (22:0) (mg),Lignoceric acid (24:0) (mg),MUFA (mg),Myristoleic acid (14:1) (mg),Palmitoleic acid (16:1) (mg),Oleic acid (18:1) (mg),Gondoic acid (20:1) (mg),Erucic acid (22:1) (mg),PUFA (mg),LA (mg),ALA (mg),Stearidonic acid (18:4) (mg),Arachidonic acid (20:4) (mg),EPA (mg),DPA (mg),DHA (mg),Other FA (mg),P/M/S,Trans Fat (mg),Total AA (mg),Asp (mg),Thr (mg),Ser (mg),Glu (mg),Pro (mg),Gly (mg),Ala (mg),Cys (mg),Val (mg),Met (mg),Ile (mg),Leu (mg),Tyr (mg),Phe (mg),Lys (mg),His (mg),Arg (mg),Trp (mg),Cholesterol (mg),Alcohol (g),CalCalories(kcal),Carbs%,Protein%,Fat%,Alcohol%
蔬菜類,綠蘆筍平均值,綠蘆筍平均值,22,20,93.0,2.7,0.2,0.1,0.7,3.5,1.2,1.7,0.7,1.0,0.0,0.0,0.0,0.0,4.0,264.0,14.0,15.0,1.1,0.8,52.0,0.067,0.149,567.0,57.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.56,0.47,0.45,0.02,0.07,0.02,31.54,0.0,0.0,0.1,0.11,1.06,0.09,0.0,31.0,12.8,144.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,116.0,0.0,6.0,0.0,1.0,7.0,12.0,7.0,0.0,0.0,7.0,0.0,0.0,18.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68/1.00/21.69,0.0,1859.0,456.0,68.0,107.0,277.0,68.0,83.0,101.0,17.0,100.0,23.0,66.0,103.0,49.0,67.0,101.0,44.0,113.0,14.0,0.0,,26.6,0.5263,0.406,0.0677,0.0
蔬菜類,綠蘆筍,綠蘆筍,22,20,93.4,1.3,0.2,0.1,0.6,4.5,1.4,1.7,0.7,1.0,,0.0,0.0,0.0,6.0,220.0,15.0,11.0,1.0,0.3,47.0,0.046,,1327.0,133.0,,0.0,796.0,,,,,0.55,0.5,0.49,0.02,0.04,0.01,,,,0.07,0.13,0.98,0.1,,26.8,9.7,137.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,106.0,0.0,11.0,0.0,3.0,6.0,9.0,13.0,0.0,0.0,13.0,0.0,0.0,14.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.10/1.00/10.59,,1363.0,344.0,52.0,77.0,239.0,36.0,62.0,73.0,9.0,68.0,15.0,46.0,75.0,34.0,47.0,81.0,30.0,72.0,5.0,,,25.0,0.72,0.208,0.072,0.0
蔬菜類,澳洲綠蘆筍(粗短型),澳洲綠蘆筍(粗短型),20,18,93.4,2.5,0.2,,0.8,3.1,1.2,,,,,,,,3.0,261.0,14.0,15.0,1.2,0.7,55.0,,,0.0,0.0,,,0.0,,,,,0.6,0.52,0.5,0.03,0.06,0.01,,,,0.08,0.09,1.08,0.06,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1838.0,533.0,68.0,99.0,216.0,78.0,78.0,85.0,15.0,110.0,29.0,65.0,92.0,50.0,64.0,78.0,56.0,107.0,15.0,,,24.2,0.5124,0.4132,0.0744,0.0
蔬菜類,綠蘆筍(細短型),綠蘆筍(細短型),23,21,92.5,3.3,0.2,,0.7,3.2,1.2,,,,,,,,3.0,332.0,12.0,21.0,1.3,1.4,69.0,,,727.0,73.0,,,436.0,,,,,0.3,0.11,0.09,0.01,0.14,0.06,,,,0.14,0.17,1.17,0.17,,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395.0,513.0,90.0,147.0,363.0,93.0,105.0,141.0,30.0,125.0,33.0,90.0,135.0,61.0,90.0,133.0,56.0,155.0,37.0,,,27.8,0.4604,0.4748,0.0647,0.0
蔬菜類,綠蘆筍(短型),綠蘆筍(短型),22,20,92.8,3.5,0.1,0.1,0.6,3.0,1.0,1.6,0.7,0.9,0.0,0.0,0.0,0.0,5.0,245.0,,13.0,0.8,0.7,37.0,0.088,0.149,215.0,22.0,0.0,,129.0,0.0,0.0,0.0,0.0,0.79,0.75,0.73,0.03,0.04,0.0,31.54,0.0,0.0,0.11,0.06,1.02,0.04,0.0,35.2,14.2,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,1.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1839.0,436.0,62.0,107.0,291.0,65.0,87.0,105.0,14.0,99.0,15.0,65.0,109.0,52.0,68.0,111.0,35.0,118.0,0.0,0.0,,26.9,0.4461,0.5204,0.0335,0.0
蔬菜類,蘆筍花,蘆筍花,21,17,93.1,2.9,0.3,,1.0,2.7,1.8,,,,,,,,2.0,332.0,9.0,16.0,2.5,1.1,69.0,,,1462.0,146.0,,,877.0,,,,,0.89,0.75,0.72,0.04,0.12,0.01,,,,0.13,0.2,1.56,0.1,,,18.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.0,382.0,89.0,125.0,306.0,83.0,116.0,143.0,12.0,133.0,33.0,98.0,142.0,55.0,89.0,138.0,52.0,77.0,24.0,,,25.1,0.4303,0.4622,0.1076,0.0
蔬菜類,嫩莖萵苣,嫩莖萵苣,16,14,95.0,1.0,0.2,,0.7,3.1,1.2,,,,,,,,22.0,310.0,16.0,16.0,0.3,0.2,18.0,,,600.0,60.0,,0.0,360.0,,,,,,,,,,,,,,0.03,0.01,0.7,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,0.6813,0.2198,0.0989,0.0
蔬菜類,嫩薑,嫩薑,21,19,94.3,0.0,0.3,,0.6,4.8,1.4,,,,,,,,12.0,270.0,14.0,15.0,0.4,0.2,22.0,,,33.0,3.0,,0.0,20.0,,,,,,,,,,,,,,0.0,0.01,1.03,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,0.8767,0.0,0.1233,0.0
蔬菜類,粉薑,粉薑,28,23,92.0,1.0,0.3,0.1,0.7,6.1,2.7,0.7,0.4,0.3,,0.0,0.0,0.0,7.0,297.0,17.0,22.0,0.7,0.3,23.0,0.007,,2.0,0.0,,0.0,1.0,,,,,1.86,0.86,0.75,0.0,1.1,0.01,,,,0.02,0.02,0.47,0.06,,39.5,3.0,95.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,57.0,0.0,17.0,0.0,0.0,5.0,5.0,87.0,0.0,0.0,80.0,4.0,3.0,78.0,65.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,1.00/1.11/1.22,,,,,,,,,,,,,,,,,,,,,,,31.1,0.7846,0.1286,0.0868,0.0
蔬菜類,老薑,老薑,53,47,85.8,1.1,0.5,0.2,0.9,11.7,3.2,0.7,0.4,0.3,,0.0,0.0,0.0,4.0,304.0,21.0,33.0,2.0,0.5,17.0,0.015,,51.0,5.0,,0.0,31.0,,,,,2.08,1.16,1.05,0.01,1.02,0.01,,,,0.02,0.03,0.49,0.1,,45.0,2.9,181.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,0.0,115.0,0.0,38.0,0.0,0.0,2.0,3.0,141.0,0.0,0.0,129.0,9.0,3.0,161.0,136.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14/1.00/1.28,,,,,,,,,,,,,,,,,,,,,,,55.7,0.8402,0.079,0.0808,0.0
